                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1439,                 3.3697,                 4.0065,                0.00187,                    0.5,                0.06908,                0.02104,                 2.9106,                 3.7744,                 3.9274,               0.035577,              0.0045775,              0.0045775
                     35,                 2.8552,                 3.3256,                 3.9074,                0.00186,                    0.5,                0.22249,                0.04474,                 2.8801,                 3.7599,                 3.9165,                0.03364,              0.0046399,              0.0046399
                     36,                 3.1862,                  3.376,                 3.9592,                0.00186,                    0.5,                0.22249,                0.04474,                 2.8801,                 3.7599,                 3.9165,               0.031698,              0.0046983,              0.0046983
                     37,                 3.2067,                 3.3609,                 3.9863,                0.00185,                    0.5,                0.22825,                0.04765,                  2.855,                 3.7487,                 3.9077,               0.029753,              0.0047528,              0.0047528
                     38,                 2.9975,                 3.3064,                 3.9628,                0.00186,                    0.5,                0.28428,                 0.0605,                 2.8241,                 3.7411,                 3.8973,               0.027803,              0.0048033,              0.0048033
                     39,                 3.0937,                 3.2932,                 3.9111,                0.00186,                    0.5,                0.28428,                 0.0605,                 2.8241,                 3.7411,                 3.8973,                0.02585,              0.0048498,              0.0048498
                     40,                 3.2721,                 3.3142,                 3.9018,                0.00184,                    0.5,                0.27323,                0.06619,                 2.7928,                 3.7336,                 3.8872,               0.023892,              0.0048924,              0.0048924
                     41,                 3.1167,                 3.3092,                 3.8759,                0.00183,                    0.5,                0.22832,                0.07153,                 2.7589,                 3.7249,                 3.8752,               0.021931,               0.004931,               0.004931
                     42,                  3.249,                  3.326,                 3.8971,                0.00183,                    0.5,                0.22832,                0.07153,                 2.7589,                 3.7249,                 3.8752,               0.019966,              0.0049657,              0.0049657
                     43,                 2.9575,                 3.0865,                 3.8537,                0.00181,                    0.5,                0.23104,                0.08305,                 2.7185,                 3.7178,                 3.8632,               0.017996,              0.0049964,              0.0049964
                     44,                 3.0015,                 3.1813,                 3.8523,                0.00181,                    0.5,                0.23104,                0.08305,                 2.7185,                 3.7178,                 3.8632,               0.016023,              0.0050232,              0.0050232
                     45,                 3.0991,                  3.295,                 3.8735,                0.00177,                    0.5,                0.24838,                0.09471,                  2.693,                 3.7011,                 3.8516,               0.014046,               0.005046,               0.005046
                     46,                 2.9521,                  3.451,                 3.9512,                0.00177,                    0.5,                0.24838,                0.09471,                  2.693,                 3.7011,                 3.8516,               0.012065,              0.0050648,              0.0050648
                     47,                 2.8275,                 3.2886,                 3.8675,                0.00177,                    0.5,                0.30204,                0.12044,                 2.6646,                 3.6982,                 3.8371,                0.01008,              0.0050797,              0.0050797
                     48,                 3.2511,                 3.4111,                 3.9081,                0.00177,                    0.5,                0.30204,                0.12044,                 2.6646,                 3.6982,                 3.8371,              0.0080906,              0.0050906,              0.0050906
                     49,                 2.9171,                 3.2983,                 3.8453,                0.00177,                    0.5,                0.29695,                0.11724,                   2.63,                 3.6957,                  3.819,              0.0060975,              0.0050975,              0.0050975
                     50,                 3.1729,                 3.1538,                 3.8495,                0.00177,                    0.5,                0.29695,                0.11724,                   2.63,                 3.6957,                  3.819,                0.00505,                0.00505,                0.00505
                     51,                  3.223,                 3.3273,                  3.899,                0.00173,                    0.5,                0.28327,                 0.1339,                 2.5811,                 3.6475,                 3.7919,                0.00505,                0.00505,                0.00505
                     52,                 3.2349,                 3.3214,                 3.8991,                0.00173,                    0.5,                0.28327,                 0.1339,                 2.5811,                 3.6475,                 3.7919,               0.004951,               0.004951,               0.004951
                     53,                 3.0828,                 3.3018,                 3.8362,                0.00173,                    0.5,                0.26063,                0.12613,                 2.5426,                 3.6425,                  3.765,               0.004852,               0.004852,               0.004852
                     54,                 3.0835,                  3.425,                 3.8563,                0.00173,                    0.5,                0.26063,                0.12613,                 2.5426,                 3.6425,                  3.765,               0.004753,               0.004753,               0.004753
                     55,                 2.9633,                 3.1028,                 3.7641,                0.00173,                    0.5,                 0.2237,                0.09676,                 2.5025,                 3.6797,                 3.7367,               0.004654,               0.004654,               0.004654
                     56,                 3.2892,                  3.226,                 3.8664,                0.00173,                    0.5,                 0.2237,                0.09676,                 2.5025,                 3.6797,                 3.7367,               0.004555,               0.004555,               0.004555
                     57,                 3.1936,                 3.2599,                  3.793,                0.00169,                    0.5,                0.22313,                0.10174,                 2.4672,                 3.6832,                 3.7029,               0.004456,               0.004456,               0.004456
                     58,                 3.0593,                 3.3022,                 3.8017,                0.00169,                    0.5,                0.22313,                0.10174,                 2.4672,                 3.6832,                 3.7029,               0.004357,               0.004357,               0.004357
                     59,                  3.092,                 3.3013,                 3.8201,                0.00168,                    0.5,                  0.169,                0.08089,                 2.4284,                 3.6827,                 3.6656,               0.004258,               0.004258,               0.004258
                     60,                 3.0526,                 3.0906,                 3.7877,                0.00168,                    0.5,                  0.169,                0.08089,                 2.4284,                 3.6827,                 3.6656,               0.004159,               0.004159,               0.004159
                     61,                 3.1492,                 3.2477,                 3.7482,                 0.0017,                    0.5,                0.13687,                 0.0528,                 2.4383,                 3.6364,                 3.6339,                0.00406,                0.00406,                0.00406
                     62,                 3.1338,                 3.1572,                 3.7531,                 0.0017,                    0.5,                0.13687,                 0.0528,                 2.4383,                 3.6364,                 3.6339,               0.003961,               0.003961,               0.003961
                     63,                 2.8147,                 3.1276,                 3.7626,                0.00169,                    0.5,                 0.1459,                0.05869,                 2.3994,                 3.6738,                 3.5875,               0.003862,               0.003862,               0.003862
                     64,                 3.1002,                 3.0659,                 3.7761,                0.00169,                    0.5,                 0.1459,                0.05869,                 2.3994,                 3.6738,                 3.5875,               0.003763,               0.003763,               0.003763
                     65,                 3.0407,                 3.3552,                 3.8085,                0.54966,                0.30952,                0.15002,                0.05984,                 2.3632,                 3.6917,                  3.542,               0.003664,               0.003664,               0.003664
                     66,                 2.9865,                 3.3572,                  3.776,                0.54966,                0.30952,                0.15002,                0.05984,                 2.3632,                 3.6917,                  3.542,               0.003565,               0.003565,               0.003565
                     67,                 3.1648,                  3.141,                 3.7876,                 0.6406,                 0.2381,                0.19226,                0.08218,                 2.3489,                 3.6731,                 3.5025,               0.003466,               0.003466,               0.003466
                     68,                  2.757,                 3.0008,                 3.7561,                 0.6406,                 0.2381,                0.19226,                0.08218,                 2.3489,                 3.6731,                 3.5025,               0.003367,               0.003367,               0.003367
                     69,                 2.9031,                 3.2262,                 3.7431,                0.67758,                 0.2381,                0.21567,                0.08967,                 2.3303,                 3.6906,                 3.4627,               0.003268,               0.003268,               0.003268
                     70,                 2.9198,                 3.2014,                 3.7544,                0.67758,                 0.2381,                0.21567,                0.08967,                 2.3303,                 3.6906,                 3.4627,               0.003169,               0.003169,               0.003169
                     71,                 2.8714,                  3.205,                 3.6404,                0.68469,                 0.2381,                0.21453,                0.09857,                 2.3236,                 3.7108,                 3.4334,                0.00307,                0.00307,                0.00307
                     72,                 2.7599,                 3.0356,                 3.6021,                0.68469,                 0.2381,                0.21453,                0.09857,                 2.3236,                 3.7108,                 3.4334,               0.002971,               0.002971,               0.002971
                     73,                 2.7151,                 3.1007,                 3.6751,                0.67567,                 0.2381,                0.21484,                0.11136,                 2.3289,                 3.8064,                 3.3816,               0.002872,               0.002872,               0.002872
                     74,                 2.7542,                 3.1012,                 3.6284,                0.67567,                 0.2381,                0.21484,                0.11136,                 2.3289,                 3.8064,                 3.3816,               0.002773,               0.002773,               0.002773
                     75,                 2.9497,                 3.2777,                 3.6995,                0.73124,                 0.2381,                0.21886,                 0.1121,                 2.3378,                 3.8569,                 3.3439,               0.002674,               0.002674,               0.002674
                     76,                  2.795,                 3.0984,                 3.5702,                0.73124,                 0.2381,                0.21886,                 0.1121,                 2.3378,                 3.8569,                 3.3439,               0.002575,               0.002575,               0.002575
                     77,                 3.1134,                 3.0934,                 3.7231,                0.69606,                0.26113,                 0.2401,                0.12566,                 2.3327,                 3.8084,                 3.3105,               0.002476,               0.002476,               0.002476
                     78,                 2.7718,                 3.1644,                 3.6921,                0.69606,                0.26113,                 0.2401,                0.12566,                 2.3327,                 3.8084,                 3.3105,               0.002377,               0.002377,               0.002377
                     79,                 3.2258,                  3.191,                 3.7674,                0.66911,                0.19048,                0.22767,                 0.1188,                 2.3384,                 3.8101,                 3.2833,               0.002278,               0.002278,               0.002278
                     80,                 2.7851,                 2.9777,                 3.6006,                0.66911,                0.19048,                0.22767,                 0.1188,                 2.3384,                 3.8101,                 3.2833,               0.002179,               0.002179,               0.002179
                     81,                  3.074,                 3.2055,                 3.7956,                0.67546,                 0.2619,                0.20617,                0.10116,                 2.3578,                 3.7883,                  3.278,                0.00208,                0.00208,                0.00208
                     82,                 3.1823,                 3.0588,                 3.7068,                0.67546,                 0.2619,                0.20617,                0.10116,                 2.3578,                 3.7883,                  3.278,               0.001981,               0.001981,               0.001981
                     83,                 2.8111,                 3.0292,                 3.6205,                0.69166,                0.23684,                0.19943,                0.08862,                 2.3838,                 3.7805,                 3.2854,               0.001882,               0.001882,               0.001882
                     84,                 3.0343,                 3.1726,                 3.7045,                0.69166,                0.23684,                0.19943,                0.08862,                 2.3838,                 3.7805,                 3.2854,               0.001783,               0.001783,               0.001783
                     85,                 2.8875,                  3.071,                 3.5941,                0.68738,                 0.2381,                0.19728,                0.08105,                 2.3872,                  3.684,                 3.2796,               0.001684,               0.001684,               0.001684
                     86,                 3.0216,                 3.1709,                 3.6676,                0.68738,                 0.2381,                0.19728,                0.08105,                 2.3872,                  3.684,                 3.2796,               0.001585,               0.001585,               0.001585
                     87,                 2.9934,                 3.0772,                 3.5843,                0.69459,                 0.2381,                0.20788,                0.08263,                 2.3888,                 3.6627,                  3.261,               0.001486,               0.001486,               0.001486
                     88,                 2.9421,                 2.8976,                 3.5368,                0.69459,                 0.2381,                0.20788,                0.08263,                 2.3888,                 3.6627,                  3.261,               0.001387,               0.001387,               0.001387
                     89,                 2.9268,                 3.1212,                 3.6822,                0.70464,                 0.2619,                0.21754,                0.09275,                 2.3747,                 3.5205,                 3.2297,               0.001288,               0.001288,               0.001288
                     90,                 2.8891,                 2.9981,                 3.6544,                0.70464,                 0.2619,                0.21754,                0.09275,                 2.3747,                 3.5205,                 3.2297,               0.001189,               0.001189,               0.001189
                     91,                 2.9793,                   3.14,                 3.6818,                0.68356,                0.29015,                0.21621,                 0.0937,                 2.3639,                 3.4337,                 3.2161,                0.00109,                0.00109,                0.00109
                     92,                 2.8454,                 2.9884,                 3.5184,                0.68356,                0.29015,                0.21621,                 0.0937,                 2.3639,                 3.4337,                 3.2161,               0.000991,               0.000991,               0.000991
                     93,                 2.9806,                 2.9374,                 3.5552,                0.67911,                0.30952,                0.22381,                0.09511,                 2.3546,                 3.3859,                 3.1982,               0.000892,               0.000892,               0.000892
                     94,                 2.8652,                 2.9971,                 3.6427,                0.67911,                0.30952,                0.22381,                0.09511,                 2.3546,                 3.3859,                 3.1982,               0.000793,               0.000793,               0.000793
                     95,                 3.0137,                 3.0884,                 3.7144,                0.68197,                0.30952,                0.23395,                0.09925,                 2.3497,                 3.3794,                 3.1898,               0.000694,               0.000694,               0.000694
                     96,                  2.977,                 3.2711,                 3.7762,                0.68197,                0.30952,                0.23395,                0.09925,                 2.3497,                 3.3794,                 3.1898,               0.000595,               0.000595,               0.000595
                     97,                 3.1447,                  2.989,                 3.6742,                0.69886,                0.35714,                0.25148,                0.10448,                 2.3476,                 3.3617,                 3.1864,               0.000496,               0.000496,               0.000496
                     98,                 2.7121,                 3.1538,                 3.5771,                0.69886,                0.35714,                0.25148,                0.10448,                 2.3476,                 3.3617,                 3.1864,               0.000397,               0.000397,               0.000397
                     99,                 2.8368,                  3.004,                 3.5533,                0.69916,                0.38095,                0.24846,                 0.1043,                 2.3446,                 3.3335,                 3.1862,               0.000298,               0.000298,               0.000298
